"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1964140279369519453","Sat Sep 06 01:45:26 +0000 2025","4","@diaanacil_ asliii Bu Ana ga ngerti konteks marah ke presiden padahal lagi demo DPR. eh Malih lo juga di luar konteks negara mau rubuh malah ributin warna pada marah bgt presidennya disenggol kaya presidennya bersih suci tanpa noda tanpa cela ","1964142869520011705","","diaanacil_","in","","0","0","0","https://x.com/undefined/status/1964142869520011705","75062017",
"1964141542744216066","Sat Sep 06 01:44:33 +0000 2025","0","@echa6day malah sibuk ngurusin tunjangan dpr goblok emng tp belum tau ini demo lg apa ngga.","1964142646462448020","","echa6day","in","","0","0","0","https://x.com/undefined/status/1964142646462448020","1820598757412802560",
"1964142295495954591","Sat Sep 06 01:43:09 +0000 2025","0","@prabowo @ListyoSigitP @DivHumas_Polri BRAVO Buat POLRI.... https://t.co/rmferNKw76 Polda Metro Jaya menunjukkan aksi humanis dengan membagikan roti dan air mineral kepada pengunjuk rasa. Polisi hadir untuk melayani dan menjaga keamanan.","1964142295495954591","","prabowo","in","","0","0","0","https://x.com/undefined/status/1964142295495954591","1650138127724584962",
"1964139307393765731","Sat Sep 06 01:31:17 +0000 2025","0","Detik-detik Mencekam! Kader PMII tersambar api saat aksi di DPRD Seram Bagian Timur suasana berubah panik seketika! #trageditoday #viralTiktok #pmii #DPRRI #fypage #fypシ #BreakingNews #Update #Trending #viral #Demo #DPR #Indonesia https://t.co/3EifCEecSB","1964139307393765731","https://pbs.twimg.com/amplify_video_thumb/1964138614650277888/img/bzvqQtDOmrr80biA.jpg","","in","","0","0","0","https://x.com/undefined/status/1964139307393765731","1846930673346793472",
"1963519525678453149","Sat Sep 06 01:26:32 +0000 2025","1","@ferrykoto @DPR_RI @PDI_Perjuangan kok smp bernada menghasut demo begini da.","1964138112407208175","","ferrykoto","in","","0","0","0","https://x.com/undefined/status/1964138112407208175","1607363521423249412",
"1963972503954694511","Sat Sep 06 01:20:28 +0000 2025","1","@yaniarsim @DPR_RI Kl sekalian Take Home Pay (THP) disamakan UMR yang berlaku sepertinya DPRRI akan Bubar sendiri tanpa demo &amp; tanpa keluar Dekrit P'@prabowo @Gerindra (Bos Prof @bang_dasco P' @MuzaniGerindra @Fraksi_Gerindra Om : @sjafriesjams @fadlizon @Dahnilanzar )","1964136587341811926","","yaniarsim","in","","0","0","0","https://x.com/undefined/status/1964136587341811926","280298505",
"1963987418106699894","Sat Sep 06 01:19:40 +0000 2025","0","@nikky_parioth @acakadulltsszz 17+8 Tuntutan Rakyat adalah kumpulan aspirasi masyarakat Indonesia yang muncul dari demo Agustus 2025. Terdiri dari 17 tuntutan jangka pendek (deadline 5 Sept 2025) dan 8 jangka panjang (deadline 31 Agt 2026) menargetkan Presiden DPR partai politik Polri TNI dan kementerian","1964136385469952286","","nikky_parioth","in","","0","0","0","https://x.com/undefined/status/1964136385469952286","1720665183188922368",
"1964132391796252729","Sat Sep 06 01:03:48 +0000 2025","0","TAIII MENDING DPR KASIH GAJI POKOK AJA gue tanya itu biaya peningkatan komunikasi insentif dengan masyarakat tuh masyarakat mana anjing? kalian baru rapat aja kalo di demo bekatan kalian semua tunjangan istri/suami dan anak? KOCAK WOI NGGA SEKALIAN TUH MERTUA IPAR PONAKAN BUYUT","1964132391796252729","","","in","","0","0","0","https://x.com/undefined/status/1964132391796252729","1143055905069518848",
"1963444696866537524","Sat Sep 06 01:02:34 +0000 2025","0","@th1sscorpiesse baru nyadar kenapa tiktok banyak konten demo kemaren karena mereka pro pembubaran dpr yang mana sama aja memberi idolanya kekuasaan absolut","1964132079223922944","","th1sscorpiesse","in","","0","0","0","https://x.com/undefined/status/1964132079223922944","1492848282355515395",
"1964123845549576255","Sat Sep 06 00:59:45 +0000 2025","9","@tvOneNews Tak akan ada demo anarkis JIKA: DPR &amp; PEMERINTAH ASPIRATIF Didemo besar kok tak ditemui kluarin statmen tak elok. Rakyat susah kok joget2 pdhl kebiasaan tak empatif itu sdh sering dikritik publik. Baru direspon stlh rusuh. Cara macam mana ini. Jd siapa penyebab demo rusuh?","1964131373469618513","","tvOneNews","in","","1","1","4","https://x.com/undefined/status/1964131373469618513","545264533",
"1964131229231697974","Sat Sep 06 00:59:11 +0000 2025","0"," gue pengen tau siape yang bikin ide sama tujuan foto profil warna pink sama ijo itu sampe orang bahkan yang punya tuh akun jadi FOMO dengan alasan cara perlawanan walaupun yang pake warna foto profil itu gak ikutan demo ke DPR sama lawan polisi yang berjaga lagi pula DPR butuh","1964131230905225727","","dennytian1800","in","","0","1","0","https://x.com/undefined/status/1964131230905225727","1680966636633993216",
